reach_id,state_id
72,2
109,2
425,2
430,2
491,2
526,2
543,9
567,2
568,2
664,5
665,2
791,2
821,5
828,2
1035,2
1086,2
1088,5
1089,5
1092,5
1107,2
1125,2
1130,2
1201,2
1220,2
1285,2
1305,2
1306,2
1407,2
1486,2
1540,2
1766,2
1767,2
1768,2
1769,2
1770,2
2042,2
2111,2
2114,2
2209,4
2210,2
2211,2
2212,4
2213,4
2214,4
2219,5
2223,5
2337,2
2379,5
2401,2
2428,5
2448,9
2469,2
2532,2
2533,2
2617,2
2657,2
2658,2
2660,2
2662,2
2665,2
2712,2
2723,2
2725,2
2783,2
2786,5
2824,2
2829,2
2830,2
2832,2
2833,2
2944,5
3000,2
3011,2
3048,2
3053,9
3067,2
3090,5
3091,5
3092,5
3093,5
3138,2
3212,2
3230,2
3282,9
3289,9
3290,9
3291,9
3293,9
3294,9
3504,5
3650,2
3652,2
3655,2
3657,2
3658,2
3676,2
3677,2
3766,9
3767,2
3770,9
3775,9
3776,9
3777,9
3779,9
3878,2
3882,2
3884,2
3929,2
3930,2
3934,2
3943,2
3944,2
3990,9
4008,2
4012,9
4038,2
4039,2
4062,2
4114,2
4409,2
4505,2
4573,5
4574,5
4630,2
4679,2
4688,2
4689,2
4690,2
4691,2
4700,2
4815,2
4912,2
4940,2
4953,5
4981,2
4986,2
4987,2
4988,2
4991,2
4994,2
4995,2
4996,2
4997,2
5013,2
5014,2
5041,2
5046,2
5051,5
5163,4
5165,4
5169,2
5171,4
5172,4
5173,4
5174,4
5175,4
5176,4
5189,4
5193,4
5194,4
5196,4
5298,9
5300,9
5302,9
5305,9
5306,9
5307,9
5308,9
5309,9
5312,2
5312,9
5313,9
5314,9
5315,9
5316,9
5317,9
5319,9
5323,9
5325,2
5325,9
5326,9
5327,2
5327,5
5327,9
5329,9
5331,11
5334,9
5336,9
5337,9
5338,9
5342,9
5343,9
5349,9
5350,9
5355,9
5360,9
5412,11
5415,11
5416,11
5418,11
5448,2
5449,2
5450,2
5451,2
5452,2
5453,2
5454,2
5455,2
5456,2
5457,2
5458,2
5459,2
5460,5
5461,2
5462,2
5463,2
5464,2
5465,2
5466,2
5467,2
5468,2
5469,2
5470,2
5471,2
5472,2
5473,2
5474,2
5475,2
5477,2
5478,2
5479,2
5480,2
5481,2
5482,2
5484,2
5485,2
5486,2
5487,2
5488,2
5489,2
5490,2
5491,2
5492,2
5493,2
5494,2
5495,2
5496,2
5497,2
5498,2
5499,2
5500,2
5501,2
5502,2
5503,2
5504,2
5505,2
5506,2
5507,2
5508,2
5509,2
5510,2
5511,2
5512,2
5513,2
5514,2
5515,2
5516,2
5517,2
5518,2
5519,2
5520,2
5521,2
5522,2
5523,2
5524,2
5525,2
5526,2
5527,2
5528,2
5529,2
5530,2
5531,2
5532,2
5533,2
5534,2
5535,2
5536,2
5537,2
5538,2
5539,2
5540,2
5541,2
5542,2
5543,2
5544,2
5545,2
5546,2
5547,2
5548,2
5549,2
5550,2
5551,2
5552,2
5553,2
5554,2
5555,2
5556,2
5557,2
5558,2
5559,2
5560,2
5561,2
5562,2
5563,2
5564,2
5565,2
5565,5
5566,2
5567,2
5568,2
5569,2
5570,2
5571,2
5572,2
5573,2
5574,2
5575,2
5576,2
5577,2
5579,2
5580,2
5581,2
5582,2
5583,2
5584,2
5620,5
5621,5
5634,5
5636,5
5669,5
5670,5
5675,5
5676,5
5680,5
5681,5
5682,5
5684,5
5687,5
5688,5
5692,5
5693,5
5698,5
5699,5
5708,5
5709,5
5712,5
5715,5
5716,5
5717,5
5723,5
5724,5
5726,5
5772,2
5773,2
5774,2
5775,2
5778,2
5780,2
5781,2
5782,2
5783,2
5784,2
5785,2
5786,9
5787,2
5787,11
5788,2
5788,11
5789,2
5789,11
5790,2
5790,9
5791,9
5792,2
5793,2
5794,2
5795,2
5796,2
5797,2
5798,2
5799,2
5800,2
5801,2
5802,2
5803,2
5804,2
5805,2
5806,2
5807,2
5808,2
5808,5
5809,2
5810,2
5811,2
5812,2
5813,2
5814,2
5815,2
5816,2
5817,2
5818,2
5819,2
5820,2
5821,2
5822,2
5823,2
5824,2
5825,2
5826,2
5827,2
5830,2
5831,2
5832,2
5833,2
